,ID,Asset,Asset Class,Description,Country,Currency,Region,Sector,Derivatives,Country of Risk,S&P Bond Rating,Product Risk Rating,Product Type,Created,Cntry_of_risk,ID NUMBER,Created By,Modified By,Level,Property Bag,owshiddenversion,Title,Effective Permissions Mask,ScopeId,URL Path,Approval Status,Unique Id,Item Type,Modified,Name,Issuer,six_valorNumber,six_exchangeCode,six_currencyCode,six_uniqueCombination,six_IsColumnUpdated,Six_DataStatus,Ticker Symbol,High Yield Bond?,CIS (SFC survey),Complex Product,Issuer rating,Structured Product types(product Survey),For PI only?,Experienced liquidity/solvency problems during the reporting period?,Leveraged?
0,1,Cash,Cash and Equivalents,Australia Dollar,Global,USD,Global,Cash,No,AU,N/A,1.0,Cash and Money Market,1;#2022-04-26 22:03:42,AU,1.0,Juene Pablo,Julian Lim,1,1;#,3,AUD/USD,0x7ffffffffffbffff,1;#{47912F08-D1BE-473D-8135-E60416C9C3D4},1;#sites/Carret/Lists/Securities Master DB/1_.000,0,1;#{D31B41FA-A0C6-4148-A0BE-5F4C38CBE0AB},1;#0,2022-05-16 22:25:28,1;#1_.000,,,,,,,,,,,,,,,,
1,2,Bond,High Yield,Wynn Macau Ltd,MAC,USD,APC,Consumer Discretionary,No,MO,B+,4.0,Bond - High Yield,2;#2022-04-26 22:03:43,MO,2.0,Juene Pablo,Liz Kwok,1,2;#,5,USG98149AD29,0x7ffffffffffbffff,2;#{47912F08-D1BE-473D-8135-E60416C9C3D4},2;#sites/Carret/Lists/Securities Master DB/2_.000,0,2;#{0847758C-692B-4887-B8DA-8B872D2649D5},2;#0,2022-08-01 00:06:18,2;#2_.000,Wynn Macau Ltd,38324692.0,558.0,333.0,"38324692,558,333",Yes,Found,,,,,,,,,
2,3,Equity,Equity,Haitong International Securities Group Ltd,Hong Kong,HKD,Asia & Pacific,Financials,No,HK,N/A,4.0,Equities,3;#2022-04-26 22:03:43,HK,3.0,Juene Pablo,Juene Pablo,1,3;#,3,BMG4232X1020,0x7ffffffffffbffff,3;#{47912F08-D1BE-473D-8135-E60416C9C3D4},3;#sites/Carret/Lists/Securities Master DB/3_.000,0,3;#{7DAC585B-FD62-4B83-9ABD-EE7BB1472E9D},3;#0,2022-06-01 06:06:52,3;#3_.000,Haitong International Securities Group Ltd,12052082.0,1332.0,470.0,120520821332470,Yes,Found,665 HK,,,,,,,,
3,4,Equity,Equity,HKT Trust and HKT Ltd,Hong Kong,HKD,Asia & Pacific,Communication Services,No,HK,N/A,4.0,Equities,4;#2022-04-26 22:03:44,HK,4.0,Juene Pablo,Juene Pablo,1,4;#,3,HK0000093390,0x7ffffffffffbffff,4;#{47912F08-D1BE-473D-8135-E60416C9C3D4},4;#sites/Carret/Lists/Securities Master DB/4_.000,0,4;#{1465A781-7D26-45D8-9962-A1F33FAEC734},4;#0,2022-06-01 06:06:53,4;#4_.000,HKT Trust and HKT Ltd,13965383.0,104.0,470.0,13965383104470,Yes,Found,6823 HK,,,,,,,,
4,5,Equity ETF,Equity,CSOP Hang Seng Index Daily (-2x) Inverse,Hong Kong,HKD,Asia & Pacific,Undetermined,No,HK,N/A,4.0,Equities,5;#2022-04-26 22:03:45,,5.0,Juene Pablo,Juene Pablo,1,5;#,3,HK0000503190,0x7ffffffffffbffff,5;#{47912F08-D1BE-473D-8135-E60416C9C3D4},5;#sites/Carret/Lists/Securities Master DB/5_.000,0,5;#{681E5FD9-8945-471A-AD82-45865E747318},5;#0,2022-06-01 06:06:54,5;#5_.000,CSOP,48200666.0,104.0,470.0,48200666104470,Yes,Found,7500 HK,,,,,,,,
5,6,Equity,Equity,Henderson Investment Ltd,Hong Kong,HKD,Asia & Pacific,Consumer Discretionary,No,HK,N/A,4.0,Equities,6;#2022-04-26 22:03:45,HK,6.0,Juene Pablo,Juene Pablo,1,6;#,3,HK0097000571,0x7ffffffffffbffff,6;#{47912F08-D1BE-473D-8135-E60416C9C3D4},6;#sites/Carret/Lists/Securities Master DB/6_.000,0,6;#{9AABD5F1-D0D3-4D76-90CA-7BDB39B8CFDC},6;#0,2022-06-01 06:06:56,6;#6_.000,Henderson Investment Ltd,421222.0,104.0,470.0,421222104470,Yes,Found,97 HK,,,,,,,,
6,7,Equity,Equity,Xinyi Solar Holdings Ltd,Hong Kong,HKD,Asia & Pacific,Information Technology,No,CN,N/A,4.0,Equities,7;#2022-04-26 22:03:46,CN,7.0,Juene Pablo,Juene Pablo,1,7;#,3,KYG9829N1025,0x7ffffffffffbffff,7;#{47912F08-D1BE-473D-8135-E60416C9C3D4},7;#sites/Carret/Lists/Securities Master DB/7_.000,0,7;#{95F6480B-DC48-4ED2-8D1E-7EB229FD0B51},7;#0,2022-06-01 06:06:57,7;#7_.000,Xinyi Solar Holdings Ltd,13169964.0,1332.0,470.0,131699641332470,Yes,Found,968 HK,,,,,,,,
7,8,Equity,Equity,FinVolution Group,United States,USD,North America,Financials,No,CN,N/A,4.0,Equities,8;#2022-04-26 22:03:46,CN,8.0,Juene Pablo,Juene Pablo,1,8;#,3,US31810T1016,0x7ffffffffffbffff,8;#{47912F08-D1BE-473D-8135-E60416C9C3D4},8;#sites/Carret/Lists/Securities Master DB/8_.000,0,8;#{0E2E48A3-F3FB-4CAC-B408-84F17A9E5D4A},8;#0,2022-06-01 06:06:58,8;#8_.000,FinVolution Group,51197857.0,65.0,333.0,"51197857,65,333",Yes,Found,FINV US,,,,,,,,
8,9,Alternative Investments,Alternative Investment,INVESTMENT AMOUNT WITH PE SECURITIZATION (LUX) S.A. - TARGET ASIA 2017 CLASS A SHARES,Global,USD,Global,Undetermined,Yes,Global,N/A,4.0,,9;#2022-04-26 22:03:47,,9.0,Juene Pablo,Juene Pablo,1,9;#,1,PE SECURITIZATION (LUX) S.A.,0x7ffffffffffbffff,9;#{47912F08-D1BE-473D-8135-E60416C9C3D4},9;#sites/Carret/Lists/Securities Master DB/9_.000,0,9;#{9651C655-8E01-468E-82D3-4FE4F97D6A8E},9;#0,2022-04-26 22:03:47,9;#9_.000,,,,,,,,,,,,,,,,
9,10,Equity,Equity,Chinese Estates Holdings Ltd,Hong Kong,HKD,Asia & Pacific,Real Estate,No,HK,N/A,4.0,Equities,10;#2022-04-26 22:03:48,HK,10.0,Juene Pablo,Juene Pablo,1,10;#,3,BMG2108M2182,0x7ffffffffffbffff,10;#{47912F08-D1BE-473D-8135-E60416C9C3D4},10;#sites/Carret/Lists/Securities Master DB/10_.000,0,10;#{71C85C2D-B2F3-4BA2-92CB-97BE77BE7C15},10;#0,2022-06-01 06:06:59,10;#10_.000,Chinese Estates Holdings Ltd,10062247.0,104.0,470.0,10062247104470,Yes,Found,127 HK,,,,,,,,
